StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_Prolific_P2,ParticipantID,PROLIFIC_PID,PID
9/3/2022 5:15,9/3/2022 5:21,IP Address,100,397,TRUE,9/3/2022 5:21,R_ZBQ1W1jqPcnwySR,,,,,anonymous,EN,Yes,,58595b56a3149800011e156e,58595b56a3149800011e156e
9/3/2022 5:29,9/3/2022 5:30,IP Address,100,43,TRUE,9/3/2022 5:30,R_2XbuTXFBxhF7pfo,,,,,anonymous,EN,Yes,,62d9b8f821e545b0a264bc77,62d9b8f821e545b0a264bc77
9/3/2022 5:32,9/3/2022 5:32,IP Address,100,5,TRUE,9/3/2022 5:32,R_3CDTuGX3JrUPwC1,,,,,anonymous,EN,Yes,,627142805c1992313f79ec55,627142805c1992313f79ec55
9/3/2022 5:39,9/3/2022 5:39,IP Address,100,11,TRUE,9/3/2022 5:39,R_DppqLhSjHYPv0at,,,,,anonymous,EN,Yes,,606492360e422d12dc63000e,606492360e422d12dc63000e
9/3/2022 5:39,9/3/2022 5:39,IP Address,100,16,TRUE,9/3/2022 5:39,R_1g88BxkQQv7rWZA,,,,,anonymous,EN,Yes,,62f4fd58f48b7df0b0b16d2b,62f4fd58f48b7df0b0b16d2b
9/3/2022 5:39,9/3/2022 5:44,IP Address,100,277,TRUE,9/3/2022 5:44,R_2uIYhLgXAvNp3ZH,,,,,anonymous,EN,Yes,,5d073bbfffd6f0000150a7eb,5d073bbfffd6f0000150a7eb
9/3/2022 5:45,9/3/2022 5:47,IP Address,100,83,TRUE,9/3/2022 5:47,R_3FXKMI3vMNOvrVa,,,,,anonymous,EN,Yes,,613747afa1b97f29cbae831b,613747afa1b97f29cbae831b
9/3/2022 5:47,9/3/2022 5:47,IP Address,100,27,TRUE,9/3/2022 5:47,R_1Nt7SR8NKj4500A,,,,,anonymous,EN,Yes,,5c9b1b5c441b4700179b17b2,5c9b1b5c441b4700179b17b2
9/3/2022 5:47,9/3/2022 5:48,IP Address,100,29,TRUE,9/3/2022 5:48,R_25zlKOSDKmSvyOc,,,,,anonymous,EN,Yes,,5c8808098d2bbf0017e4b527,5c8808098d2bbf0017e4b527
9/3/2022 5:47,9/3/2022 5:51,IP Address,100,278,TRUE,9/3/2022 5:51,R_2f8Mvo6XvXLnNhR,,,,,anonymous,EN,Yes,,5eac686d82cc012af1e953c7,5eac686d82cc012af1e953c7
9/3/2022 6:03,9/3/2022 6:04,IP Address,100,74,TRUE,9/3/2022 6:04,R_2WBYdZnwCPyqOWJ,,,,,anonymous,EN,Yes,,6137ebb74197e0473d1318e3,6137ebb74197e0473d1318e3
9/3/2022 6:11,9/3/2022 6:14,IP Address,100,197,TRUE,9/3/2022 6:14,R_BJ5GeNnI9DIEIkp,,,,,anonymous,EN,Yes,,62b473736986d2b27c1427d2,62b473736986d2b27c1427d2
9/3/2022 6:23,9/3/2022 6:23,IP Address,100,35,TRUE,9/3/2022 6:23,R_1kGEdF9X4n3tA75,,,,,anonymous,EN,Yes,,5f1f08e1443fd9089b8ab257,5f1f08e1443fd9089b8ab257
9/3/2022 6:32,9/3/2022 6:33,IP Address,100,37,TRUE,9/3/2022 6:33,R_3fMLrW451lxmntA,,,,,anonymous,EN,Yes,,6111a8e5c22c39a1c92edb70,6111a8e5c22c39a1c92edb70
9/3/2022 6:34,9/3/2022 6:34,IP Address,100,45,TRUE,9/3/2022 6:34,R_pJY2uUBkZnNdRHX,,,,,anonymous,EN,Yes,,57a93244dcff7d0001c7d86f,57a93244dcff7d0001c7d86f
9/3/2022 6:35,9/3/2022 6:36,IP Address,100,93,TRUE,9/3/2022 6:36,R_3JgTqvZxXCi2YzZ,,,,,anonymous,EN,Yes,,62d411612e7180f15cc68973,62d411612e7180f15cc68973
9/3/2022 6:40,9/3/2022 6:40,IP Address,100,13,TRUE,9/3/2022 6:40,R_8qZax2MVScjNdpn,,,,,anonymous,EN,Yes,,5f179bd584e8e802ef9c187d,5f179bd584e8e802ef9c187d
9/3/2022 6:35,9/3/2022 6:40,IP Address,100,309,TRUE,9/3/2022 6:40,R_u35ImtTDkfPrvoZ,,,,,anonymous,EN,Yes,,616567af93f2b71b50c3ff85,616567af93f2b71b50c3ff85
9/3/2022 6:47,9/3/2022 6:47,IP Address,100,25,TRUE,9/3/2022 6:47,R_2PhalqKgTrq4ZRX,,,,,anonymous,EN,Yes,,61230b14a3bcb65c585dfdaa,61230b14a3bcb65c585dfdaa
9/3/2022 6:53,9/3/2022 6:53,IP Address,100,32,TRUE,9/3/2022 6:53,R_1N81vj6EPEiJ5e5,,,,,anonymous,EN,Yes,,5f6067975552dc000aa21f2a,5f6067975552dc000aa21f2a
9/3/2022 6:53,9/3/2022 6:56,IP Address,100,160,TRUE,9/3/2022 6:56,R_3fDhwZH488USd4i,,,,,anonymous,EN,Yes,,60d52a5dca16f851ab8b9b82,60d52a5dca16f851ab8b9b82
9/3/2022 6:57,9/3/2022 6:58,IP Address,100,39,TRUE,9/3/2022 6:58,R_2SGEJnaYKL0QHIK,,,,,anonymous,EN,Yes,,614f7f23fc5a8f932e992ec3,614f7f23fc5a8f932e992ec3
9/3/2022 7:00,9/3/2022 7:00,IP Address,100,29,TRUE,9/3/2022 7:00,R_306L0dhS0ajqFfb,,,,,anonymous,EN,Yes,,60ff1667d33c26f94974305b,60ff1667d33c26f94974305b
9/3/2022 7:01,9/3/2022 7:03,IP Address,100,86,TRUE,9/3/2022 7:03,R_qOUtV9LtXW0sOvn,,,,,anonymous,EN,Yes,,6162fa4fec3fe9d88d067ada,6162fa4fec3fe9d88d067ada
9/3/2022 7:08,9/3/2022 7:09,IP Address,100,47,TRUE,9/3/2022 7:09,R_5dr2ASMLHWuuLZf,,,,,anonymous,EN,Yes,,60801aa3467fd2f54022f40d,60801aa3467fd2f54022f40d
9/3/2022 7:10,9/3/2022 7:11,IP Address,100,50,TRUE,9/3/2022 7:11,R_21z80TJzgyOwiLc,,,,,anonymous,EN,Yes,,5d9bc20e05a36d03c375758c,5d9bc20e05a36d03c375758c
9/3/2022 7:15,9/3/2022 7:19,IP Address,100,290,TRUE,9/3/2022 7:19,R_b9OmcGCOei3Ds3v,,,,,anonymous,EN,Yes,,601fc50f4b7f33504a02cd52,601fc50f4b7f33504a02cd52
9/3/2022 7:21,9/3/2022 7:21,IP Address,100,47,TRUE,9/3/2022 7:21,R_1CIJb6o7vUb3o8M,,,,,anonymous,EN,Yes,,62d09b3966159c48ea7c9e85,62d09b3966159c48ea7c9e85
9/3/2022 7:29,9/3/2022 7:29,IP Address,100,7,TRUE,9/3/2022 7:29,R_1ONSjM5o336lZF3,,,,,anonymous,EN,Yes,,60d52a5dca16f851ab8b9b82,60d52a5dca16f851ab8b9b82
